"key","KZ","RU","EN"
"disable","Қызметін бұзу","Отключить","Disable"
"recover","Қалпына келтіру","Восстановить","Recover"
"name","Аты","Наименование","Name"
"link","Сілтеме","Ссылка","Link"
"please_enter_name","Атын енгізіңіз","Введите имя","Enter name"
"enter_name","Атын енгізіңіз","Введите имя","Enter name"
"please_enter_link","Сілтемені енгізіңіз","Введите ссылку","Enter link"
"enter_link","Сілтемені енгізіңіз","Введите ссылку","Enter link"
"no_data","Деректер жоқ","Нет данных","No data"
"location","Орналасу орны","Местоположение","Location"
"industry","Саласы","Отрасль","Industry"
"government_share","Ұлттық пайыз","Государственная доля","Government share"
"please_enter_location","Орналасу орнын енгізіңіз","Введите местоположение","Enter location"
"enter_location","Орналасу орнын енгізіңіз","Введите местоположение","Enter location"
"please_enter_industry","Саланы енгізіңіз","Введите отрасль","Enter industry"
"enter_industry","Саланы енгізіңіз","Введите отрасль","Enter industry"
"please_enter_government_share","Ұлттық пайызды енгізіңіз","Введите государственную долю","Enter government share"
"enter_government_share","Ұлттық пайызды енгізіңіз","Введите государственную долю","Enter government share"
"partner_module","Серіктестер модулі","Модуль партнеров","Partner module"
"partner_created_successfully","Серіктес сәтті қосылды","Партнер успешно добавлен","Partner created successfully"
"partner_updated_successfully","Серіктес сәтті жаңартылды","Партнер успешно обновлен","Partner updated successfully"
"partner_deleted_successfully","Серіктес сәтті жойылды","Партнер успешно удален","Partner deleted successfully"
"enterprise_module","Үй модулі","Модуль предприятий","Enterprise module"
"enterprise_created_successfully","Үй сәтті қосылды","Предприятие успешно добавлено","Enterprise created successfully"
"enterprise_updated_successfully","Үй сәтті жаңартылды","Предприятие успешно обновлено","Enterprise updated successfully"
"enterprise_deleted_successfully","Үй сәтті жойылды","Предприятие успешно удалено","Enterprise deleted successfully"
"mission_module","Миссия модулі","Модуль миссий","Mission module"
"mission_created_successfully","Миссия сәтті қосылды","Миссия успешно добавлена","Mission created successfully"
"mission_updated_successfully","Миссия сәтті жаңартылды","Миссия успешно обновлена","Mission updated successfully"
"employee_module","Қызметкер модулі","Модуль сотрудников","Employee module"
"employee_created_successfully","Қызметкер сәтті қосылды","Сотрудник успешно добавлен","Employee created successfully"
"employee_updated_successfully","Қызметкер сәтті жаңартылды","Сотрудник успешно обновлен","Employee updated successfully"
"employee_deleted_successfully","Қызметкер сәтті жойылды","Сотрудник успешно удален","Employee deleted successfully"
"npa_module","НПА модулі","Модуль НПА","NPA module"
"npa_created_successfully","НПА сәтті қосылды","НПА успешно добавлен","NPA created successfully"
"npa_updated_successfully","НПА сәтті жаңартылды","НПА успешно обновлен","NPA updated successfully"
"npa_deleted_successfully","НПА сәтті жойылды","НПА успешно удален","NPA deleted successfully"
"contacts_module","Байланыс модулі","Модуль контактов","Contacts module"
"contacts_created_successfully","Байланыс сәтті қосылды","Контакт успешно добавлен","Contacts created successfully"
"contacts_updated_successfully","Байланыс сәтті қосылды","Контакт успешно добавлен","Contacts created successfully"
"news_module","Жаңалықтар модулі","Модуль новостей","News module"
"news_created_successfully","Жаңалық сәтті қосылды","Новость успешно добавлена","News created successfully"
"news_updated_successfully","Жаңалық сәтті жаңартылды","Новость успешно обновлена","News updated successfully"
"news_deleted_successfully","Жаңалық сәтті жойылды","Новость успешно удалена","News deleted successfully"
"event_module","Оқиға модулі","Модуль событий","Event module"
"event_created_successfully","Оқиға сәтті қосылды","Событие успешно добавлено","Event created successfully"
"event_updated_successfully","Оқиға сәтті жаңартылды","Событие успешно обновлено","Event updated successfully"
"event_deleted_successfully","Оқиға сәтті жойылды","Событие успешно удалено","Event deleted successfully"
"document_module","Құжат модулі","Модуль документов","Document module"
"document_created_successfully","Құжат сәтті қосылды","Документ успешно дабавлен","Document created successfully"
"document_updated_successfully","Құжат сәтті жаңартылды","Документ успешно обновлен","Document updated successfully"
"document_deleted_successfully","Құжат сәтті жойылды","Документ успешно удален","Document deleted successfully"
"mission_is_not_set","Миссия орнатылмаған","Миссия не установлена","Mission is not set"
"text","Мәтін","Текст","Text"
"please_enter_text","Мәтінді енгізіңіз","Введите текст","Enter text"
"enter_text","Мәтінді енгізіңіз","Введите текст","Enter text"
"group","Топ","Группа","Group"
"please_enter_group","Топты енгізіңіз","Введите группу","Enter group"
"enter_group","Топты енгізіңіз","Введите группу","Enter group"
"title","Тақырып","Заголовок","Title"
"please_enter_title","Тақырыпты енгізіңіз","Введите заголовок","Enter title"
"enter_title","Тақырыпты енгізіңіз","Введите заголовок","Enter title"
"filename","Файл аты","Имя файла","Filename"
"please_enter_filename","Файл атын енгізіңіз","Введите имя файла","Enter filename"
"enter_filename","Файл атын енгізіңіз","Введите имя файла","Enter filename"
"primary_contact_person","Басты байланыс адамы","Основной контактное лицо","Primary contact person"
"primary_contact","Басты байланыс","Основной контакт","Primary contact"
"secondary_contact_person","Екінші байланыс адамы","Вторичный контактное лицо","Secondary contact person"
"secondary_contact","Екінші байланыс","Вторичный контакт","Secondary contact"
"email","Электрондық пошта","Электронная почта","Email"
"primary_contact_person","Басты байланыс адамы","Основной контактное лицо","Primary contact person"
"please_enter_primary_contact_person","Басты байланыс адамын енгізіңіз","Введите основное контактное лицо","Enter primary contact person"
"enter_primary_contact_person","Басты байланыс адамын енгізіңіз","Введите основное контактное лицо","Enter primary contact person"
"primary_contact","Басты байланыс","Основной контакт","Primary contact"
"please_enter_primary_contact","Басты байланысын енгізіңіз","Введите основной контакт","Enter primary contact"
"enter_primary_contact","Басты байланысын енгізіңіз","Введите основной контакт","Enter primary contact"
"secondary_contact_person","Екінші байланыс адамы","Вторичный контактное лицо","Secondary contact person"
"please_enter_secondary_contact_person","Екінші байланыс адамын енгізіңіз","Введите вторичное контактное лицо","Enter secondary contact person"
"enter_secondary_contact_person","Екінші байланыс адамын енгізіңіз","Введите вторичное контактное лицо","Enter secondary contact person"
"secondary_contact","Екінші байланыс","Вторичный контакт","Secondary contact"
"please_enter_secondary_contact","Екінші байланысын енгізіңіз","Введите вторичный контакт","Enter secondary contact"
"enter_secondary_contact","Екінші байланысын енгізіңіз","Введите вторичный контакт","Enter secondary contact"
"please_enter_email","Электрондық поштаны енгізіңіз","Введите электронную почту","Enter email"
"enter_email","Электрондық поштаны енгізіңіз","Введите электронную почту","Enter email"
"content","Мазмұн","Содержание","Content"
"img_url","Сурет URL","URL изображения","Image URL"
"img_url","Сурет URL","URL изображения","Image URL"
"please_enter_img_url","Сурет URL-ді енгізіңіз","Введите URL изображения","Enter image URL"
"enter_img_url","Сурет URL-ді енгізіңіз","Введите URL изображения","Enter image URL"
"content","Мазмұн","Содержание","Content"
"please_enter_content","Мазмұны енгізіңіз","Введите содержание","Enter content"
"enter_content","Мазмұны енгізіңіз","Введите содержание","Enter content"
"planned_at","Жоспарланған уақыт","Запланировано","Planned at"
"desc","Сипаттама","Описание","Description"
"desc","Сипаттама","Описание","Description"
"please_enter_desc","Сипаттаманы енгізіңіз","Введите описание","Enter description"
"enter_desc","Сипаттаманы енгізіңіз","Введите описание","Enter description"
"planned_at","Жоспарланған уақыт","Запланировано","Planned at"
"please_enter_planned_at","Жоспарланған уақыты енгізіңіз","Введите запланированное время","Enter planned at"
"enter_planned_at","Жоспарланған уақыты енгізіңіз","Введите запланированное время","Enter planned at"
"applications","Өтініштер","Заявки","Applications"
"applications_edit","Өтініш өңдеу","Редактировать заявку","Edit application"
"language_settings","Тіл параметрлері","Настройки языка","Language settings"
"enterprise","Предприятие","Предприятие","Enterprise"
"fio","Аты-жөні","ФИО","FIO"
"bin","БИН","БИН","BIN"
"contact","Байланыс","Контакт","Contact"
"message","Хабарлама","Сообщение","Message"
"invalid_login_or_password","Логин немесе құпия сөз дұрыс емес","Неверный логин или пароль","Invalid login or password"
"authorization","Авторизация","Авторизация","Authorization"
"session_expired","Сеанс аяқталды, жүйеге кіріңіз.","Сессия завершена, пожалуйста авторизуйтесь.","Session expired, please login."
"critical_error","Қиындықты қате","Критическая ошибка","Critical error"
"please_try_again_or_contact_support","Қайталап көріңіз немесе қолдау қызметімен хабарласыңыз","Попробуйте еще раз или свяжитесь с поддержкой","Please try again or contact support"
"error_occurred_please_try_again","Қате орын алды, әрекетті қайталаңыз","Произошла ошибка, попробуйте еще раз","Error occurred, please try again"
"successfully_logged_in","Сіз жүйеге сәтті кірдіңіз","Вы успешно вошли в систему","Successfully logged in"
"successfully_logged_out","Сіз жүйеден сәтті шықтыңыз","Вы успешно вышли из системы","Successfully logged out from system"
"phone","Телефон","Телефон","Phone"
"details","Толық ақпарат","Подробности","Details"
"application_id","Өтініш ID","ID заявки","Application ID"
"please_enter_phone","Телефонды енгізіңіз","Введите телефон","Enter phone"
"enter_phone","Телефонды енгізіңіз","Введите телефон","Enter phone"
"could_not_get_application","Өтінішті алу мүмкін емес","Не удалось получить заявку","Could not get application"
"application_created_successfully","Өтініш сәтті қосылды","Заявка успешно добавлена","Application created successfully"
"could_not_create_application","Өтініш қосу мүмкін емес","Не удалось добавить заявку","Could not create application"
"application_updated_successfully","Өтініш сәтті жаңартылды","Заявка успешно обновлена","Application updated successfully"
"could_not_update_application","Өтініш жаңарту мүмкін емес","Не удалось обновить заявку","Could not update application"
"application_deleted_successfully","Өтініш сәтті жойылды","Заявка успешно удалена","Application deleted successfully"
"could_not_delete_application","Өтініш жою мүмкін емес","Не удалось удалить заявку","Could not delete application"
"enterprise_id","Кәсіпорын идентификаторы","ID предприятия","Enterprise ID"
"almaty_city","Алматы қаласы","Город Алматы","Almaty city"
"astana_city","Астана қаласы","Город Астана","Astana city"
"shymkent_city","Шымкент қаласы","Город Шымкент","Shymkent city"
"abai","Абай облысы","Абайская область","Abai Region"
"aqmola","Ақмола облысы","Акмолинская область","Akmola Region"
"aqtobe","Ақтөбе облысы","Актюбинская область","Aktobe Region"
"almaty","Алматы облысы","Алматинская область","Almaty Region"
"atyrau","Атырау облысы","Атырауская область","Atyrau Region"
"bqo","Батыс Қазақстан облысы","Западно-Казахстанская область","West Kazakhstan Region"
"jambyl","Жамбыл облысы","Жамбылская область","Jambyl Region"
"jetisu","Жетісу облысы","Жетысуская область","Jetisu Region"
"qaragandy","Қарағанды облысы","Карагандинская область","Karaganda Region"
"qostanai","Қостанай облысы","Костанайская область","Kostanay Region"
"qyzylorda","Қызылорда облысы","Кызылординская область","Kyzylorda Region"
"mangystau","Маңғыстау облысы","Мангистауская область","Mangystau Region"
"pavlodar","Павлодар облысы","Павлодарская область","Pavlodar Region"
"sqo","Солтүстік Қазақстан облысы","Северо-Казахстанская область","North Kazakhstan Region"
"turkistan","Түркістан облысы","Туркестанская область","Turkistan Region"
"ulytau","Ұлытау облысы","Улытауская область","Ulytau Region"
"shqo","Шығыс Қазақстан облысы","Восточно-Казахстанская область","East Kazakhstan Region"
"quantity","Саны","Количество","Quantity"
"npa_successfully_uploaded_description","НПА сәтті жүктелді","НПА успешно загружен","NPA successfully uploaded"
"failed_to_upload_document","Құжатты жүктеу мүмкін емес","Не удалось загрузить документ","Failed to upload document"
"document_successfully_uploaded_description","Құжат сәтті жүктелді","Документ успешно загружен","Document successfully uploaded"
"failed_to_upload_document","Құжатты жүктеу мүмкін емес","Не удалось загрузить документ","Failed to upload document"
"news_image_uploaded_successfully","Жаңалықтың суреті сәтті жүктелді","Изображение новости успешно загружено","News image uploaded successfully"
"failed_to_upload_news_image","Жаңалықтың суретін жүктеу мүмкін емес","Не удалось загрузить изображение новости","Failed to upload news image"
"event_image_uploaded_successfully","Оқиғаның суреті сәтті жүктелді","Изображение события успешно загружено","Event image uploaded successfully"
"failed_to_upload_event_image","Оқиғаның суретін жүктеу мүмкін емес","Не удалось загрузить изображение события","Failed to upload event image"
"contacts_failed_to_retrieve","Байланыстарды алу мүмкін емес","Не удалось получить контакты","Contacts failed to retrieve"
"contacts_created_successfully","Байланыс сәтті қосылды","Контакт успешно добавлен","Contacts created successfully"
"contacts_failed_to_create","Байланыс қосу мүмкін емес","Не удалось добавить контакт","Contacts failed to create"
"contacts_updated_successfully","Байланыс сәтті жаңартылды","Контакт успешно обновлен","Contacts updated successfully"
"contacts_failed_to_update","Байланыс жаңарту мүмкін емес","Не удалось обновить контакт","Contacts failed to update"
"documents_fetch_failed","Құжаттарды алу мүмкін емес","Не удалось получить документы","Documents fetch failed"
"document_fetch_failed","Құжатты алу мүмкін емес","Не удалось получить документ","Document fetch failed"
"document_create_failed","Құжатты қосу мүмкін емес","Не удалось добавить документ","Document create failed"
"document_update_failed","Құжатты жаңарту мүмкін емес","Не удалось обновить документ","Document update failed"
"document_delete_failed","Құжатты жою мүмкін емес","Не удалось удалить документ","Document delete failed"
"failed_to_fetch_employees","Қызметкерлерді алу мүмкін емес","Не удалось получить сотрудников","Failed to fetch employees"
"failed_to_fetch_employee","Қызметкерді алу мүмкін емес","Не удалось получить сотрудника","Failed to fetch employee"
"failed_to_create_employee","Қызметкерді қосу мүмкін емес","Не удалось добавить сотрудника","Failed to create employee"
"failed_to_update_employee","Қызметкерді жаңарту мүмкін емес","Не удалось обновить сотрудника","Failed to update employee"
"failed_to_delete_employee","Қызметкерді жою мүмкін емес","Не удалось удалить сотрудника","Failed to delete employee"
"failed_to_fetch_enterprises","Үйлерді алу мүмкін емес","Не удалось получить предприятия","Failed to fetch enterprises"
"failed_to_fetch_enterprise","Үйді алу мүмкін емес","Не удалось получить предприятие","Failed to fetch enterprise"
"enterprise_created_failed","Үйді қосу мүмкін емес","Не удалось добавить предприятие","Enterprise created failed"
"enterprise_updated_failed","Үйді жаңарту мүмкін емес","Не удалось обновить предприятие","Enterprise updated failed"
"enterprise_deleted_failed","Үйді жою мүмкін емес","Не удалось удалить предприятие","Enterprise deleted failed"
"failed_to_fetch_events","Оқиғаларды алу мүмкін емес","Не удалось получить события","Failed to fetch events"
"failed_to_fetch_event","Оқиғаны алу мүмкін емес","Не удалось получить событие","Failed to fetch event"
"failed_to_create_event","Оқиғаны қосу мүмкін емес","Не удалось добавить событие","Failed to create event"
"failed_to_update_event","Оқиғаны жаңарту мүмкін емес","Не удалось обновить событие","Failed to update event"
"failed_to_delete_event","Оқиғаны жою мүмкін емес","Не удалось удалить событие","Failed to delete event"
"failed_to_get_mission","Миссияны алу мүмкін емес","Не удалось получить миссию","Failed to get mission"
"failed_to_create_mission","Миссияны қосу мүмкін емес","Не удалось добавить миссию","Failed to create mission"
"failed_to_update_mission","Миссияны жаңарту мүмкін емес","Не удалось обновить миссию","Failed to update mission"
"news_list_failed","Жаңалықтардың тізімі алу мүмкін емес","Не удалось получить список новостей","News list failed"
"news_get_failed","Жаңалықты алу мүмкін емес","Не удалось получить новость","News get failed"
"news_create_failed","Жаңалықты қосу мүмкін емес","Не удалось добавить новость","News create failed"
"news_update_failed","Жаңалықты жаңарту мүмкін емес","Не удалось обновить новость","News update failed"
"news_delete_failed","Жаңалықты жою мүмкін емес","Не удалось удалить новость","News delete failed"
"failed_to_get_npa_list","НПА тізімін алу мүмкін емес","Не удалось получить список НПА","Failed to get NPA list"
"failed_to_get_npa","НПА алу мүмкін емес","Не удалось получить НПА","Failed to get NPA"
"failed_to_create_npa","НПА қосу мүмкін емес","Не удалось добавить НПА","Failed to create NPA"
"failed_to_update_npa","НПА жаңарту мүмкін емес","Не удалось обновить НПА","Failed to update NPA"
"failed_to_delete_npa","НПА жою мүмкін емес","Не удалось удалить НПА","Failed to delete NPA"
"failed_to_get_partner_list","Серіктестердің тізімін алу мүмкін емес","Не удалось получить список партнеров","Failed to get partner list"
"failed_to_get_partner","Серіктес алу мүмкін емес","Не удалось получить партнера","Failed to get partner"
"failed_to_create_partner","Серіктес қосу мүмкін емес","Не удалось добавить партнера","Failed to create partner"
"failed_to_update_partner","Серіктес жаңарту мүмкін емес","Не удалось обновить партнера","Failed to update partner"
"failed_to_delete_partner","Серіктес жою мүмкін емес","Не удалось удалить партнера","Failed to delete partner"
"failed_to_get_user","Пайдаланушыны алу мүмкін емес","Не удалось получить пользователя","Failed to get user"
"failed_to_get_user_by_login","Пайдаланушыны логин арқылы алу мүмкін емес","Не удалось получить пользователя по логину","Failed to get user by login"
"failed_to_create_user","Пайдаланушыны қосу мүмкін емес","Не удалось добавить пользователя","Failed to create user"
"failed_to_update_user","Пайдаланушыны жаңарту мүмкін емес","Не удалось обновить пользователя","Failed to update user"
"failed_to_update_password","Құпия сөзді жаңарту мүмкін емес","Не удалось обновить пароль","Failed to update password"
"failed_to_delete_user","Пайдаланушыны жою мүмкін емес","Не удалось удалить пользователя","Failed to delete user"
"failed_to_recover_user","Пайдаланушыны қалпына келтіру мүмкін емес","Не удалось восстановить пользователя","Failed to recover user"
"upload_image","Суретті жүктеу","Загрузить изображение","Upload image"
"upload_document","Құжатты жүктеу","Загрузить документ","Upload document"
"view_file","Файлды көру","Просмотр файла","View file"
"please_upload_document","Құжатты жүктеңіз","Загрузите документ","Please upload document"
"remove","Жою","Удалить","Remove"
"file","Файл","Файл","File"
"take_into_account_that_file_can_not_exceed_1_mb","Файл 1 МБ аспауы керек екенін ескеріңіз","Учтите, что файл не должен превышать 1 МБ","Take into account that file can not exceed 1 MB"
"upload_is_started_please_wait","Жүктеу басталды, күте тұрыңыз","Загрузка началась, пожалуйста, подождите","Upload is started, please wait"
"please_upload_image","Суретті жүктеңіз","Загрузите изображение","Please upload image"
"implementation_form","Іске асыру формасы","Способ реализации","Implementation form"
"enter_implementation_form","Іске асыру формасын енгізіңіз","Введите способ реализации","Enter implementation form"
"sales_recommendations","Іске асыру мерзімі (жыл)","Срок реализации (год)","Implementation period (year)"
"enter_sales_recommendations","Іске асыру мерзімін енгізіңіз (жыл)","Введите срок реализации (год)","Enter implementation period (year)"
"enterprise_passport","Кәсіпорын паспорты","Паспорт предприятия","Enterprise passport"
"confirm_delete_title","Жазбаны жою керек пе?","Удалить запись?","Delete this record?"
"confirm_delete_desc","Бұл әрекетті қайтару мүмкін емес","Это действие нельзя отменить","This action cannot be undone"
"yes_delete","Иә, жою","Да, удалить","Yes, delete"
"file_too_large_5mb","Файл тым үлкен (макс. 5 МБ)","Файл слишком большой (макс. 5 МБ)","File is too large (max 5 MB)"
"file_upload","Файл","Файл","File"
"sale_details","Сату шарттары","Условия реализации","Sale details"
"content_section","Мазмұн","Содержимое","Content"
"new_record","Жаңа жазба","Новая запись","New record"
"editing","Өңдеу","Редактирование","Editing"
"sidebar_brand","Ұлттық жекешелендіру кеңсесі","Национальный офис приватизации","National Office of Privatization"
"control_panel","Басқару тақтасы","Панель управления","Control panel"
"sections","Бөлімдер","Разделы","Sections"
